City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,luderitz,-26.6481,15.1594,59.83,71,0,16.67,NA,1670202468
84,saint-pierre,-21.3393,55.4781,73.08,53,0,6.91,RE,1670202216
85,turukhansk,65.8167,87.9833,13.08,96,100,9.53,RU,1670202469
86,bilma,18.6853,12.9164,72.97,19,0,6.91,NE,1670202469
87,alofi,-19.0595,-169.9187,79.9,71,86,2.8,NU,1670202470
88,thompson,55.7435,-97.8558,-11.78,94,100,7.94,CA,1670202470
89,saint george,37.1041,-113.5841,57.25,52,0,3.44,US,1670202358
90,bogale,16.2833,95.4,77.09,84,46,5.3,MM,1670202471
91,nikolskoye,59.7035,30.7861,24.69,95,100,7.72,RU,1670202472
92,aleksandrov gay,50.147,48.5704,14.36,59,28,7.34,RU,1670202472
93,ramhormoz,31.28,49.6035,64.76,45,100,2.91,IR,1670202440
94,codrington,-38.2667,141.9667,56.95,72,100,18.14,AU,1670202473
95,talawakele,6.9371,80.6581,61.29,91,100,2.26,LK,1670202474
96,mangrol,21.1167,70.1167,69.44,37,0,13.65,IN,1670202474
97,basoko,1.2391,23.616,70.27,92,96,3.15,CD,1670202475
98,sao filipe,14.8961,-24.4956,71.96,65,95,4.23,CV,1670202396
99,ponta do sol,32.6667,-17.1,62.71,80,99,19.33,PT,1670202319
100,vostok,46.4856,135.8833,-2.67,88,97,7.18,RU,1670202476
101,cabinda,-5.55,12.2,77.18,87,100,3.49,AO,1670202476
102,tarabha,20.7333,83.65,59.11,73,1,0.78,IN,1670202477
103,krasnoselkup,65.7,82.4667,19.72,95,100,14.9,RU,1670202478
104,chkalovsk,56.7647,43.2433,3.79,94,15,4.76,RU,1670202478
105,georgetown,5.4112,100.3354,80.89,85,20,0.0,MY,1670202270
106,baghpat,28.95,77.2167,53.67,38,0,3.09,IN,1670202479
107,awjilah,29.1081,21.2869,59.56,52,5,7.78,LY,1670202480
108,kavieng,-2.5744,150.7967,81.28,72,100,7.0,PG,1670202480
109,faanui,-16.4833,-151.75,80.76,70,7,15.28,PF,1670202481
110,tiksi,71.6872,128.8694,-8.68,96,100,12.39,RU,1670202481
111,san patricio,28.017,-97.5169,66.92,79,100,6.46,US,1670202482
112,tocopilla,-22.092,-70.1979,68.0,65,0,2.59,CL,1670202482
113,port alfred,-33.5906,26.891,64.18,90,100,1.01,ZA,1670202483
114,huarmey,-10.0681,-78.1522,66.92,81,0,6.46,PE,1670202483
115,stokmarknes,68.5646,14.9108,37.38,87,75,20.71,NO,1670202484
116,ponta delgada,37.7333,-25.6667,57.92,77,20,8.05,PT,1670202484
117,cabo san lucas,22.8909,-109.9124,80.91,72,20,0.0,MX,1670202485
118,qaanaaq,77.484,-69.3632,1.76,69,100,7.87,GL,1670202486
119,tilichiki,60.4667,166.1,6.62,78,100,14.36,RU,1670202486
120,olafsvik,64.8945,-23.7142,42.75,77,96,5.1,IS,1670202402
121,castro,-24.7911,-50.0119,65.05,97,100,3.22,BR,1670202433
122,northam,51.0333,-4.2167,40.39,74,100,12.41,GB,1670202487
123,khartoum,15.5518,32.5324,77.02,44,0,1.01,SD,1670202488
124,rognan,67.0953,15.3878,41.14,94,100,8.81,NO,1670202488
125,butaritari,3.0707,172.7902,80.58,79,29,10.67,KI,1670202489
126,vibo valentia,38.6996,16.1274,50.59,64,0,3.78,IT,1670202489
127,masuguru,-11.3667,38.4167,72.19,78,60,4.27,TZ,1670202490
128,camopi,3.1655,-52.3158,71.47,99,100,2.57,GF,1670202490
129,hilo,19.7297,-155.09,80.33,72,75,9.22,US,1670202491
130,kaduy,59.2,37.15,19.65,78,100,8.21,RU,1670202492
131,mar del plata,-38.0023,-57.5575,65.08,88,3,5.99,AR,1670202236
132,katangli,51.7102,143.2326,-2.49,81,18,15.1,RU,1670202493
133,khatanga,71.9667,102.5,0.0,98,100,4.83,RU,1670202493
134,tokamachi,37.1333,138.7667,41.25,80,100,1.97,JP,1670202494
135,kavaratti,10.5669,72.642,82.58,69,100,7.65,IN,1670202495
136,hamilton,39.1834,-84.5333,34.56,58,0,4.61,US,1670202345
137,avallon,47.4833,3.9,39.56,98,100,7.27,FR,1670202496
138,hammerfest,70.6634,23.6821,27.05,74,40,10.36,NO,1670202496
139,neiafu,-18.65,-173.9833,80.82,67,100,2.17,TO,1670202497
140,maragogi,-9.0122,-35.2225,75.72,87,9,10.2,BR,1670202497
141,mahebourg,-20.4081,57.7,76.24,79,99,11.25,MU,1670202498
142,praia,14.9215,-23.5087,68.54,73,20,5.75,CV,1670202499
143,karasburg,-28.0167,18.75,51.78,70,0,11.34,NA,1670202500
144,comodoro rivadavia,-45.8667,-67.5,69.66,32,0,18.41,AR,1670202418
145,shahjahanpur,27.8833,79.9167,56.98,47,0,3.06,IN,1670202500
146,mount isa,-20.7333,139.5,94.77,16,0,4.61,AU,1670202501
147,vagur,61.4732,-6.8119,41.85,72,100,15.82,FO,1670202502
148,puerto escondido,15.85,-97.0667,79.63,69,0,3.44,MX,1670202502
149,dikson,73.5069,80.5464,28.94,86,100,20.38,RU,1670202503
150,ewa beach,21.3156,-158.0072,81.77,68,100,10.36,US,1670202365
151,yangmei,24.1023,112.5618,40.5,82,100,7.18,CN,1670202504
152,atuona,-9.8,-139.0333,77.63,79,4,19.77,PF,1670202336
153,severo-kurilsk,50.6789,156.125,23.74,85,86,9.42,RU,1670202504
154,kendari,-3.945,122.4989,81.57,77,100,3.49,ID,1670202505
155,usevya,-7.1,31.2333,65.44,95,100,3.56,TZ,1670202505
156,la rioja,42.25,-2.5,31.78,90,6,5.03,ES,1670202506
157,ayan,56.45,138.1667,6.06,60,100,11.01,RU,1670202506
158,lhokseumawe,5.1801,97.1507,77.94,85,82,4.9,ID,1670202507
159,bathsheba,13.2167,-59.5167,75.81,95,20,5.75,BB,1670202392
160,vao,-22.6667,167.4833,77.34,88,98,20.69,NC,1670202508
161,touros,-5.1989,-35.4608,78.28,76,11,13.82,BR,1670202509
162,north bend,43.4065,-124.2243,48.11,92,100,9.22,US,1670202509
163,ancud,-41.8697,-73.8203,55.6,91,100,12.3,CL,1670202510
164,aksarka,66.5606,67.7975,7.57,94,43,5.5,RU,1670202511
165,tromso,69.6496,18.957,30.38,93,75,21.85,NO,1670202511
166,pocoes,-14.5297,-40.3653,64.87,98,100,7.63,BR,1670202512
167,chapais,49.7834,-74.8492,13.78,94,100,7.85,CA,1670202512
168,cherskiy,68.75,161.3,-27.4,97,5,5.17,RU,1670202513
169,kununurra,-15.7667,128.7333,91.38,58,9,3.44,AU,1670202513
170,salalah,17.0151,54.0924,73.49,78,20,5.75,OM,1670202327
171,thinadhoo,0.5333,72.9333,81.48,73,100,6.96,MV,1670202514
172,provideniya,64.3833,-173.3,32.36,93,100,27.0,RU,1670202316
173,hobart,-42.8794,147.3294,54.27,92,75,18.41,AU,1670202317
174,manokwari,-0.8667,134.0833,80.47,81,100,2.48,ID,1670202516
175,bria,6.5423,21.9863,71.89,39,100,2.68,CF,1670202516
176,amazar,53.858,120.875,-14.94,93,94,3.33,RU,1670202517
177,buin,-33.7333,-70.75,80.42,42,0,3.58,CL,1670202517
178,tura,25.5198,90.2201,59.61,85,0,3.71,IN,1670202518
179,ranong,9.9658,98.6348,77.5,92,100,7.87,TH,1670202518
180,rzhaksa,52.1338,42.0264,13.78,70,0,4.76,RU,1670202519
